x,y,raw,cumulative,Cloglog
70.75,9.25,5.93135E-5,10.472689472,0.264086616
88.85,15.55,2.19543E-5,2.646346123,0.107296537
78.15,22.950000000000003,2.2054E-4,52.188851798,0.680232989
78.05,21.75,2.93201E-4,65.560651578,0.780369582
93.05,18.25,1.3259E-4,29.965960039,0.496148825
81.35,17.450000000000003,8.41263E-5,16.910284838,0.352684796
73.75,16.55,4.75648E-5,7.795167893,0.218002526
96.65,13.350000000000001,1.04387E-4,22.225514295,0.417058504
68.75,8.95,1.16619E-5,1.003435478,0.058508864
78.55,14.05,1.2084E-5,1.060338498,0.060561129
80.85,36.95,2.67948E-5,3.471516939,0.129359185
73.45,8.85,2.67681E-4,61.055555593,0.749394421
81.05,36.95,1.13469E-4,24.773772231,0.443795482
80.35,18.85,1.40721E-4,31.946964242,0.516887993
82.05,20.65,5.64208E-5,9.793859853,0.252998375
73.45,11.45,5.08476E-5,8.529248825,0.231162123
87.55,18.35,8.96103E-5,18.317135371,0.370779279
95.25,9.35,5.54328E-5,9.570385449,0.249172905
93.45,36.95,1.46367E-7,0.001158223,0.000756412
69.95,20.75,4.53302E-6,0.211707532,0.023162615
95.75,15.25,1.85739E-4,44.140207432,0.617201308
75.85,16.55,9.99141E-5,21.151960725,0.403420181
79.95,36.85,3.34553E-6,0.125807859,0.01714723
82.45,12.65,7.81528E-8,0.000505001,0.000403958
80.15,36.85,2.43092E-6,0.07317588,0.012488897
80.25,36.85,1.84386E-5,2.117684551,0.090922548
77.75,12.850000000000001,3.11985E-4,68.800369114,0.80069567
89.25,11.35,1.77665E-10,0.000000141,0.000000919
81.15,11.35,3.7967E-8,0.000165019,0.000196265
83.75,10.05,7.05367E-7,0.013000256,0.003640013
94.35,17.05,3.93931E-5,5.992751853,0.184258073
91.85,9.85,1.03163E-5,0.827217199,0.051936777
96.35,15.05,2.83325E-5,3.778174062,0.136252818
84.85,15.95,1.05731E-4,22.519666741,0.421093033
79.95,19.05,1.40448E-4,31.918836811,0.516205933
77.05,10.95,2.07226E-5,2.439298638,0.101593963
75.35,22.55,1.00564E-4,21.242249291,0.4054229
81.25,12.95,4.81521E-6,0.238446402,0.024586714
80.05,16.15,4.29314E-5,6.734013937,0.199044415
95.35,10.45,8.01826E-6,0.524448359,0.040605887
94.65,22.05,3.81537E-5,5.686258209,0.179014089
77.55,36.75,3.70914E-5,5.490433954,0.174492923
79.85,18.75,5.84944E-5,10.242890892,0.260963561
78.95,22.25,1.24338E-4,27.863081118,0.474187543
96.15,11.75,8.75463E-5,17.829641265,0.364029186
70.35,12.95,1.20012E-4,26.605770931,0.462295004
69.55,17.75,5.22358E-6,0.28178779,0.026643819
80.15,36.75,8.66898E-5,17.577161746,0.361206843
74.15,13.65,1.90873E-4,45.553427655,0.627228005
91.85,17.55,5.77182E-5,10.045182723,0.257992259
82.75,20.65,1.03609E-4,22.017470783,0.414708914
80.55,36.75,4.72942E-6,0.227460407,0.024153978
95.95,22.450000000000003,1.54079E-4,35.896846648,0.549126072
71.25,20.85,5.72411E-5,9.964657522,0.256159727
80.85,36.75,1.25862E-5,1.124575323,0.062996991
96.85,23.05,1.86796E-5,2.147401373,0.092054508
85.95,13.95,1.10861E-6,0.02328826,0.005714992
81.15,36.75,2.6001E-4,59.682017021,0.739256727
75.45,11.35,4.70632E-5,7.691074052,0.215971741
95.05,20.950000000000003,1.35991E-5,1.290836228,0.067890899
72.15,17.75,1.35534E-4,30.689965965,0.503758277
93.35,19.55,1.50985E-5,1.564585531,0.075088369
92.75,10.75,3.69943E-6,0.149606651,0.018943833
85.55,12.15,8.13293E-6,0.536574658,0.041174467
89.25,12.05,4.60147E-6,0.215813106,0.023508245
74.05,11.95,1.04265E-4,22.183777974,0.416688432
75.75,24.25,1.84965E-4,43.899183419,0.615666129
77.35,17.35,4.30711E-5,6.751215831,0.199622474
78.45,14.15,6.42862E-5,11.564821905,0.282764478
68.05,14.65,9.35629E-6,0.695658588,0.04721952
82.95,13.95,1.55549E-6,0.038313836,0.008009412
95.55,9.65,3.55732E-6,0.137609797,0.018222811
80.25,36.650000000000006,7.07721E-5,13.169706907,0.30641571
86.75,11.05,2.05412E-6,0.055882365,0.010563343
96.45,17.35,2.11766E-5,2.514841363,0.103700228
80.55,36.650000000000006,9.15851E-6,0.66232097,0.046244805
76.55,10.25,1.58373E-5,1.697589815,0.078614642
96.85,21.65,1.69374E-5,1.861628516,0.083839887
78.25,19.35,1.34741E-4,30.527708461,0.50171995
82.95,10.45,2.44193E-6,0.074151344,0.012545088
72.75,8.35,5.00294E-5,8.352596848,0.227903314
81.45,12.05,4.06331E-6,0.176081991,0.02078764
81.25,36.650000000000006,8.5454E-6,0.580799503,0.043216921
74.55,22.450000000000003,1.02481E-4,21.73941363,0.41128491
80.85,14.75,1.70919E-4,40.115293372,0.586718923
77.15,36.55,4.0467E-5,6.168669163,0.188774434
71.25,21.15,9.35368E-5,19.525393667,0.383423534
85.75,16.950000000000003,2.28693E-5,2.805541674,0.111509247
90.65,12.05,3.83846E-5,5.728407852,0.179993856
68.65,11.55,2.5309E-5,3.200810092,0.12264546
92.45,18.450000000000003,9.62015E-5,20.180580048,0.391859267
95.75,14.75,1.41528E-4,32.243487533,0.518901068
91.05,20.85,1.25448E-4,28.1628102,0.477195541
79.25,16.55,1.44155E-4,33.015699306,0.525391246
78.05,36.55,1.59025E-8,0.00004903,0.000082211
70.45,18.05,1.3666E-5,1.309925224,0.068213188
93.85,9.65,2.45891E-8,0.000084177,0.000127114
70.05,16.85,7.03808E-5,13.007478937,0.305011036
82.25,16.450000000000003,1.1863E-4,26.212076644,0.458440292
80.35,36.55,4.49488E-5,7.221843249,0.207354604
96.45,9.95,9.65083E-6,0.734631584,0.048669279
91.65,19.25,3.59312E-5,5.267378582,0.169526676
89.85,8.55,7.23179E-7,0.013502498,0.003731758
80.65,13.15,7.97927E-7,0.015315557,0.004116678
77.95,18.75,1.06818E-4,22.912734929,0.424337388
70.35,12.45,2.84207E-5,3.798026943,0.136646656
95.15,19.75,3.3835E-5,4.908121207,0.160477639
84.45,17.15,3.59056E-5,5.260193904,0.169416893
92.55,11.25,1.38455E-5,1.347077705,0.069077734
89.55,9.75,1.21986E-5,1.07613019,0.06111755
73.65,18.35,4.05286E-6,0.175269919,0.020734738
77.05,36.45,1.18381E-6,0.02592237,0.00610144
77.15,36.45,9.08661E-7,0.018198822,0.004686638
83.85,24.35,1.54016E-4,35.881438752,0.548979518
72.15,12.350000000000001,1.13238E-4,24.694405472,0.443130131
92.35,9.05,1.20857E-5,1.061547063,0.060569288
95.05,21.25,7.04527E-5,13.070850335,0.305269343
77.65,36.45,4.20896E-5,6.559653076,0.195551038
96.45,11.95,1.47655E-5,1.494491387,0.07349496
81.45,9.55,2.37246E-6,0.06933469,0.012190412
69.45,18.35,2.95425E-5,4.050255744,0.141639397
68.35,17.65,3.63784E-6,0.142649416,0.018631402
84.15,17.75,4.16325E-5,6.492633069,0.193647627
73.05,13.25,1.43768E-4,32.914900835,0.524440528
80.05,36.45,1.22364E-5,1.08101996,0.061301317
94.45,15.95,3.25012E-5,4.629787505,0.154669066
81.25,11.05,1.75182E-5,1.970437562,0.08658667
72.05,21.75,1.84307E-4,43.548256403,0.614356397
87.75,10.75,2.42146E-7,0.002397959,0.001251077
86.85,23.15,1.29914E-4,29.414518542,0.48912934
87.75,13.15,9.60339E-7,0.019514951,0.00495252
78.85,16.950000000000003,1.13233E-4,24.683081702,0.443116902
93.05,8.75,1.02515E-5,0.820019572,0.051618784
83.25,11.35,2.36001E-6,0.069097443,0.012126795
95.45,20.950000000000003,2.82467E-5,3.752715465,0.135869747
81.25,16.450000000000003,7.06421E-5,13.127282974,0.305949064
81.45,8.35,1.93844E-5,2.240460483,0.095356757
76.85,36.35,2.96167E-5,4.062096564,0.141968492
94.75,13.55,4.24082E-5,6.623009016,0.196874712
74.15,10.15,3.36135E-5,4.877750586,0.159515929
92.85,12.55,3.88257E-5,5.844270583,0.181861659
91.95,17.450000000000003,9.67523E-5,20.267457267,0.39358855
77.35,36.35,8.68358E-5,17.663962887,0.361688991
96.65,9.15,1.19399E-5,1.043530721,0.059861145
76.05,17.65,4.53769E-5,7.31215825,0.209106977
77.65,36.35,6.8801E-5,12.652373888,0.299311545
95.15,19.35,1.99153E-5,2.313091323,0.097836274
79.75,12.65,3.68451E-5,5.423857176,0.173441109
69.55,18.450000000000003,1.85417E-5,2.126942538,0.091407062
78.05,36.35,2.86792E-7,0.003265628,0.001481579
79.35,22.55,1.94749E-4,46.479416732,0.634622553
85.65,22.35,1.06309E-5,0.868004781,0.053477379
82.95,21.55,2.62024E-5,3.368231713,0.126688227
80.25,36.35,2.84852E-5,3.81225929,0.136934623
87.75,20.15,1.83987E-4,43.419357668,0.61371742
80.45,36.35,2.41448E-6,0.072207871,0.012404969
79.35,16.35,1.21581E-4,27.137627651,0.466638271
96.35,8.15,4.1389E-6,0.180192778,0.021170256
76.25,14.350000000000001,4.63791E-5,7.532342114,0.213194324
85.15,23.450000000000003,1.27602E-4,28.796171597,0.482987213
80.95,36.35,3.19931E-5,4.532961987,0.15244538
85.25,15.850000000000001,8.37895E-6,0.562993229,0.042393211
