Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.38635E-12,0.000000001,0.000000023,0.99950544,0,0
8.64043E-12,0.000000003,0.000000045,0.999208704,0,0
4.55227E-11,0.000000013,0.000000235,0.998813056,0,0
6.72579E-11,0.000000026,0.000000348,0.998615232,0,0
1.48098E-10,0.000000106,0.000000766,0.997922849,0,0
5.02428E-10,0.000000254,0.000002597,0.997428289,0,0
1.00356E-9,0.000001033,0.000005188,0.996439169,0,0
2.42226E-9,0.000002597,0.000012523,0.995450049,0,0
5.64592E-9,0.000010367,0.000029188,0.99347181,0,0
9.21768E-9,0.000025466,0.000047653,0.991691395,0,0
1.62714E-8,0.000050658,0.000084117,0.989713155,0,0
2.72668E-8,0.000102213,0.000140956,0.98743818,0,0
5.07555E-8,0.000254501,0.000262365,0.983580613,0,0
7.81528E-8,0.000505001,0.000403958,0.979723046,0,0
1.29925E-7,0.001006032,0.000671469,0.97487636,0,0
2.48725E-7,0.002521126,0.00128505,0.966963403,0,0
3.74036E-7,0.00502412,0.001931849,0.958951533,0,0
5.92471E-7,0.010034247,0.00305831,0.948862512,0,0
1.15866E-6,0.025100303,0.005972228,0.931355094,0,0
1.91541E-6,0.050135155,0.009853524,0.914935707,0,0
2.93795E-6,0.100282498,0.015074033,0.89446093,0,0
4.35177E-6,0.20017549,0.022246888,0.867457962,0,0
5.49196E-6,0.300538843,0.02799339,0.847279921,0,0.032258065
6.69944E-6,0.400408831,0.034042251,0.830959446,0,0.032258065
7.68793E-6,0.500133449,0.038966083,0.817309594,0,0.032258065
8.69812E-6,0.600599649,0.04397202,0.805242334,0,0.032258065
9.38474E-6,0.700343111,0.047359671,0.794362018,0,0.032258065
9.77538E-6,0.750183956,0.049281629,0.789218595,0,0.032258065
1.00612E-5,0.800754907,0.050685546,0.784174085,0,0.032258065
1.09292E-5,0.900374629,0.054936048,0.774777448,0,0.032258065
1.16297E-5,1.001105201,0.058352016,0.765974283,0,0.032258065
1.2452E-5,1.100778897,0.062346784,0.75776459,0,0.032258065
