X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
78.4,29.7,train,2.9445945007202246E-4,65.70582411576727,0.7817940264409446
78.4,30.1,train,2.2991627770119864E-4,54.14671239670381,0.6953635840662882
79.1,29.6,train,3.959894438916135E-4,78.52427495379982,0.8709057173549317
81.1,23.7,train,1.7833310514837777E-4,41.95456372841109,0.6022605811611329
76.6,27.2,train,2.4934930485977984E-4,57.64570389671821,0.7244820323386627
76.3,11.9,train,3.0705113344089714E-5,4.282485747447668,0.14678295445686695
77.0,10.3,train,5.817803437479392E-4,90.63749556479611,0.9505961182799643
77.0,10.4,train,1.634455300753397E-4,38.23729821148467,0.5704389690584467
79.4,20.3,train,7.930183355951668E-5,15.667918568254407,0.3363363667155018
80.7,22.3,train,3.389720590926074E-4,72.24795521046082,0.8266495555229607
79.0,29.5,train,6.555964634915456E-4,93.20381275014667,0.9662692606584591
79.3,20.3,train,1.725475917525264E-4,40.43047150767288,0.5901843633147379
76.5,25.8,train,5.586156785878317E-4,89.7544446102613,0.9443107456757952
75.8,25.2,train,4.4656194097299125E-4,83.2874188303684,0.9006061749572124
77.4,23.3,train,4.19378272968925E-4,80.53920702917536,0.8856085996967928
85.8,20.4,train,1.6626320471953214E-4,39.00280636093553,0.5766510290695671
79.2,29.5,train,2.3152241693598106E-4,54.37588127673246,0.6978826668241112
76.4,26.1,train,3.5797169163865217E-4,74.79499909420132,0.842867454761508
76.5,26.0,train,4.424871987266968E-4,82.94103029255177,0.8984901477922146
76.5,26.1,train,2.913018836377302E-4,65.22413687222816,0.7782027571252118
79.2,29.4,train,3.3686655764123555E-4,71.85347714568823,0.8247523009956896
76.4,11.7,train,3.2134922648074146E-4,70.21130925349729,0.8101141855099854
79.4,20.2,train,1.9597431336758716E-4,46.962291009949375,0.6369304600829822
79.5,21.0,train,6.90933730309574E-4,94.0258207852596,0.9719013750109289
79.2,20.2,train,1.0572169078131557E-4,22.50903334564129,0.42106608799791845
76.4,11.9,train,1.1868946524158164E-4,26.236743157352354,0.45860633485300384
76.2,11.4,train,1.0933695638926901E-4,23.63947836799539,0.43178612317697374
78.7,20.3,train,7.237897884348746E-5,13.579761920630279,0.3121535194347086
80.0,24.8,train,1.0849394620507419E-4,23.435533163989952,0.42930430106715245
76.7,12.1,train,0.002842937752136732,99.32255268439522,0.9999995860855596
76.6,11.6,train,3.1070552671002714E-4,68.51977204948251,0.7993726084791473
76.8,11.8,train,0.001111611279760653,98.073909512046,0.9968072769213562
76.7,11.7,train,7.908775899666058E-4,95.97232599833487,0.9832395104486096
80.5,28.4,train,3.800614090722165E-4,77.00240263134351,0.8598253966258013
78.6,29.5,train,6.733496535864745E-4,93.55438724104906,0.9692272992215198
76.3,12.2,train,6.251819772666051E-5,11.192361984372189,0.27617866359558485
76.4,12.0,train,9.953130345288E-5,21.023897690438382,0.40223852631351
80.5,28.2,train,7.960747259993983E-4,96.05609596602305,0.9836838435770688
76.3,25.8,train,2.877463587793314E-4,64.51481960333939,0.7740880706024487
79.3,21.4,train,5.197673637798414E-4,87.56412144193148,0.9319237922125116
79.2,21.5,train,7.194721530044352E-4,94.66008713693752,0.9757557172195133
79.4,21.4,train,2.3608491377556296E-4,55.18161476266827,0.7049254706879643
79.4,21.5,train,4.8800436703611455E-4,85.97146652464465,0.9197747574951379
79.4,21.6,train,2.212419434015083E-4,52.46864902770561,0.6813911641295203
78.9,29.5,train,5.17998432983315E-4,87.4603765813129,0.9312983706950542
79.7,20.6,train,2.855985400266799E-4,64.26253222912318,0.7715655804404676
79.2,21.8,train,1.683551682262789E-4,39.511949990947045,0.5812049502699437
81.0,19.2,train,5.9555843135084036E-5,10.528793680209699,0.26500803690375685
78.8,29.5,train,4.2860147677665074E-4,81.4444879183936,0.8909350934046011
95.7,28.0,train,6.944810570209216E-5,12.780176243901998,0.3016517561541413
79.3,20.5,train,3.292884836370063E-4,70.94541265970032,0.817750245947785
78.1,22.8,train,2.1914107117120663E-4,51.81437794865881,0.6779118203382449
78.1,22.5,train,2.5866347103020774E-4,59.44382581786737,0.7374346886978752
78.1,22.6,train,0.003931421016268042,100.0,0.9999999985106394
80.0,23.1,train,3.9192710187063213E-4,78.18397050571218,0.8681658394082581
79.4,20.0,train,2.6435126080626094E-4,60.44667564209934,0.7450430400464712
78.9,29.6,train,5.326733507717483E-4,88.37087691969766,0.9363177699767937
80.6,22.0,train,1.9956283404342322E-4,47.769609269012236,0.6436040913916208
79.4,20.5,train,1.7392948905603392E-4,40.78254124080071,0.5931017442210885
81.5,24.2,train,1.8083214098644373E-4,42.6148385531973,0.6073661946401014
81.4,24.0,train,1.3561338966710696E-4,30.704129809495903,0.5039621378555285
81.5,24.0,train,9.804338826560528E-4,97.31245508503444,0.9937094801367622
80.9,23.7,train,4.2301612754316837E-4,80.82980570139684,0.8877398793632851
81.2,23.6,train,2.0555034830752942E-4,49.22039920713118,0.6544672009744004
76.4,25.9,train,2.043666966654665E-4,48.95507193423811,0.6523462925318471
76.1,11.6,train,3.03281897984022E-4,67.29519836476636,0.7915230302816161
77.2,9.4,train,8.381217017594722E-4,96.52180725009373,0.9868715899496633
77.5,12.3,train,7.467526343564965E-4,95.19951448088098,0.9789448665148266
80.1,24.7,train,6.67822056348985E-4,93.43661393098039,0.9683352240503607
76.4,11.3,train,1.3297402398491337E-4,30.07104796631496,0.49714722920572085
79.2,20.0,train,3.1460047788039926E-4,69.15017000837356,0.8033721139003739
80.1,28.6,train,9.31742157752848E-4,97.12574244053538,0.9919088295601729
80.8,22.1,train,3.1857932399920343E-4,69.75561343912761,0.8073754535353244
76.9,10.3,train,3.5108069184519597E-4,73.78073348038525,0.8371686129275303
83.0,17.6,train,9.342320009159964E-5,19.479492050274846,0.3830611716026807
81.0,23.5,train,2.534551529110618E-4,58.57229199801588,0.7302687314822098
76.1,11.9,train,1.7384863612810876E-4,40.76356134409963,0.5929316256928127
80.7,22.0,train,1.632510473556489E-4,38.18361387513057,0.5700068499108877
80.6,22.2,train,2.205227758656505E-4,52.17215505865447,0.6802043717186916
81.2,23.8,train,5.698799780079637E-4,90.18668597212346,0.9474611817384222
88.9,22.0,train,3.875571677839925E-5,5.8253955854760155,0.18156545373636646
79.0,29.4,train,6.409904412954286E-4,92.89573899254404,0.9636235807352039
79.5,20.3,train,4.595840966771547E-4,84.34502138131869,0.907077371758416
78.8,29.6,train,3.123703371796943E-4,68.83248843796821,0.8010919679260562
76.1,12.0,train,2.5126755164861822E-5,3.172111032864882,0.12181846870282542
79.5,20.2,train,1.868050927156885E-4,44.41008025407652,0.6193051917732932
80.4,28.4,train,3.458302092281184E-4,73.2084968962629,0.8326881359016873
80.6,21.9,train,1.6852749258085303E-4,39.55395507321799,0.5815778860274339
77.9,30.3,train,2.3331178409286457E-4,54.69651152248984,0.7006646028355514
78.2,30.0,train,3.3475604273690615E-4,71.60134764784549,0.8228296897446321
78.2,29.9,train,1.3157255329845864E-4,29.73361279949792,0.4934906212115009
78.7,21.0,train,5.414032524466199E-4,88.93798412478246,0.9391280096496206
76.5,11.8,train,5.787016211148666E-4,90.50981034402679,0.9498034860444919
88.9,21.9,train,4.090021053380388E-5,6.297739640235542,0.19058911477972373
88.8,22.1,train,6.745446145944246E-5,12.274583818764544,0.29441674831097164
79.5,20.9,train,4.87148107092303E-5,8.00455111749611,0.22263791400641808
81.0,23.2,train,5.296892689255799E-4,88.18124694016417,0.9353277075861869
88.8,22.0,train,7.389485892267994E-5,14.061981899989705,0.31752303348120714
78.2,22.5,train,2.280781300615601E-4,53.83347323560624,0.6924548323399133
