species,longitude,latitude
pantheraTigris,78.6,29.7
pantheraTigris,78.4,29.7
pantheraTigris,78.4,30.1
pantheraTigris,79.1,29.6
pantheraTigris,81.1,23.7
pantheraTigris,79.8,24.7
pantheraTigris,80.5,22.4
pantheraTigris,76.4,26.0
pantheraTigris,76.6,27.2
pantheraTigris,77.2,11.9
pantheraTigris,76.3,11.9
pantheraTigris,77.0,10.3
pantheraTigris,77.0,10.4
pantheraTigris,81.1,28.2
pantheraTigris,79.4,20.3
pantheraTigris,80.7,22.3
pantheraTigris,79.0,29.5
pantheraTigris,79.3,20.3
pantheraTigris,79.2,20.3
pantheraTigris,76.5,25.8
pantheraTigris,75.8,25.2
pantheraTigris,77.4,23.3
pantheraTigris,85.8,20.4
pantheraTigris,79.2,29.5
pantheraTigris,76.4,26.1
pantheraTigris,76.4,26.2
pantheraTigris,76.5,26.0
pantheraTigris,76.5,26.1
pantheraTigris,79.2,29.4
pantheraTigris,76.4,11.7
pantheraTigris,79.4,20.2
pantheraTigris,79.5,21.0
pantheraTigris,79.4,20.2
pantheraTigris,79.2,20.2
pantheraTigris,81.1,23.6
pantheraTigris,76.4,11.9
pantheraTigris,76.2,11.4
pantheraTigris,78.7,20.3
pantheraTigris,78.5,20.3
pantheraTigris,80.8,22.4
pantheraTigris,80.4,22.3
pantheraTigris,80.5,22.4
pantheraTigris,80.5,22.3
pantheraTigris,79.3,21.7
pantheraTigris,80.4,22.3
pantheraTigris,79.3,21.7
pantheraTigris,76.5,26.1
pantheraTigris,81.0,23.8
pantheraTigris,76.5,27.2
pantheraTigris,76.6,26.0
pantheraTigris,80.0,24.8
pantheraTigris,76.5,26.1
pantheraTigris,76.7,12.1
pantheraTigris,76.6,11.6
pantheraTigris,79.7,29.6
pantheraTigris,85.6,25.1
pantheraTigris,76.8,11.8
pantheraTigris,76.7,11.8
pantheraTigris,76.5,26.0
pantheraTigris,76.7,11.7
pantheraTigris,80.5,28.4
pantheraTigris,76.5,26.1
pantheraTigris,78.6,29.5
pantheraTigris,79.3,20.2
pantheraTigris,79.4,20.3
pantheraTigris,79.3,20.3
pantheraTigris,79.2,20.4
pantheraTigris,76.5,26.1
pantheraTigris,76.3,12.2
pantheraTigris,76.5,26.1
pantheraTigris,76.2,12.1
pantheraTigris,76.4,12.2
pantheraTigris,76.4,12.0
pantheraTigris,76.3,12.1
pantheraTigris,76.3,12.1
pantheraTigris,76.3,12.2
pantheraTigris,80.5,28.2
pantheraTigris,76.5,26.0
pantheraTigris,81.0,23.7
pantheraTigris,76.5,26.1
pantheraTigris,80.7,22.4
pantheraTigris,76.5,26.1
pantheraTigris,76.3,25.8
pantheraTigris,79.3,21.4
pantheraTigris,79.2,21.5
pantheraTigris,79.4,21.4
pantheraTigris,79.3,21.4
pantheraTigris,79.4,21.5
pantheraTigris,79.3,21.4
pantheraTigris,79.4,21.6
pantheraTigris,78.9,29.5
pantheraTigris,79.4,20.4
pantheraTigris,81.1,23.8
pantheraTigris,79.4,21.7
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.3
pantheraTigris,79.3,20.3
pantheraTigris,79.7,20.6
pantheraTigris,79.3,20.3
pantheraTigris,79.3,20.2
pantheraTigris,79.2,20.2
pantheraTigris,79.4,20.3
pantheraTigris,79.2,21.8
pantheraTigris,79.4,20.2
pantheraTigris,79.4,20.2
pantheraTigris,79.3,21.8
pantheraTigris,81.0,19.2
pantheraTigris,76.4,11.6
pantheraTigris,78.8,29.5
pantheraTigris,76.5,25.9
pantheraTigris,76.6,25.9
pantheraTigris,76.5,25.8
pantheraTigris,76.2,25.9
pantheraTigris,79.3,20.4
pantheraTigris,79.3,20.3
pantheraTigris,79.3,20.3
pantheraTigris,95.7,28.0
pantheraTigris,79.2,20.4
pantheraTigris,79.3,20.3
pantheraTigris,79.2,20.4
pantheraTigris,79.4,20.4
pantheraTigris,79.4,20.3
pantheraTigris,79.3,20.5
pantheraTigris,79.2,20.2
pantheraTigris,79.4,20.3
pantheraTigris,78.1,22.8
pantheraTigris,78.1,22.5
pantheraTigris,78.1,22.6
pantheraTigris,79.3,20.1
pantheraTigris,79.2,20.2
pantheraTigris,79.3,20.2
pantheraTigris,79.2,20.1
pantheraTigris,79.2,20.2
pantheraTigris,79.3,20.2
pantheraTigris,80.0,23.1
pantheraTigris,79.3,20.2
pantheraTigris,79.3,20.1
pantheraTigris,79.4,20.2
pantheraTigris,79.4,20.0
pantheraTigris,79.2,20.2
pantheraTigris,78.9,29.6
pantheraTigris,76.6,26.1
pantheraTigris,76.5,26.2
pantheraTigris,76.6,26.2
pantheraTigris,76.6,26.0
pantheraTigris,80.6,22.0
pantheraTigris,76.6,26.0
pantheraTigris,80.7,22.3
pantheraTigris,76.5,25.9
pantheraTigris,80.6,22.3
pantheraTigris,80.7,22.4
pantheraTigris,76.6,26.1
pantheraTigris,76.5,26.0
pantheraTigris,79.4,21.7
pantheraTigris,76.5,26.2
pantheraTigris,78.6,19.8
pantheraTigris,78.6,19.9
pantheraTigris,79.4,20.5
pantheraTigris,81.5,24.2
pantheraTigris,81.4,24.0
pantheraTigris,81.0,23.7
pantheraTigris,81.5,24.1
pantheraTigris,81.5,24.0
pantheraTigris,80.9,23.7
pantheraTigris,79.0,29.5
pantheraTigris,81.1,23.7
pantheraTigris,81.2,23.6
pantheraTigris,80.9,23.7
pantheraTigris,81.0,23.8
pantheraTigris,80.8,23.7
pantheraTigris,76.4,25.9
pantheraTigris,81.0,23.6
pantheraTigris,81.0,23.8
pantheraTigris,76.6,25.8
pantheraTigris,79.3,20.3
pantheraTigris,81.1,23.8
pantheraTigris,81.1,23.6
pantheraTigris,76.1,11.6
pantheraTigris,77.2,9.4
pantheraTigris,76.2,12.0
pantheraTigris,79.4,21.6
pantheraTigris,77.5,12.3
pantheraTigris,80.1,24.7
pantheraTigris,76.4,11.3
pantheraTigris,79.4,21.7
pantheraTigris,79.2,20.0
pantheraTigris,79.4,20.4
pantheraTigris,79.3,20.1
pantheraTigris,76.5,26.0
pantheraTigris,80.1,28.6
pantheraTigris,80.8,22.1
pantheraTigris,76.3,11.9
pantheraTigris,76.5,25.9
pantheraTigris,76.9,10.3
pantheraTigris,80.7,22.2
pantheraTigris,76.2,12.0
pantheraTigris,76.5,26.2
pantheraTigris,76.6,12.0
pantheraTigris,79.3,20.4
pantheraTigris,83.0,17.6
pantheraTigris,76.4,26.2
pantheraTigris,76.5,26.1
pantheraTigris,81.0,23.5
pantheraTigris,77.2,23.3
pantheraTigris,76.1,11.9
pantheraTigris,79.4,20.3
pantheraTigris,79.3,20.3
pantheraTigris,80.7,22.0
pantheraTigris,80.8,22.1
pantheraTigris,79.3,20.4
pantheraTigris,80.7,22.0
pantheraTigris,79.4,20.2
pantheraTigris,79.4,20.3
pantheraTigris,79.3,20.4
pantheraTigris,80.6,22.2
pantheraTigris,81.2,23.7
pantheraTigris,80.6,22.3
pantheraTigris,80.6,22.2
pantheraTigris,80.7,22.3
pantheraTigris,81.0,23.7
pantheraTigris,81.2,23.8
pantheraTigris,80.6,22.2
pantheraTigris,80.7,22.3
pantheraTigris,80.6,22.4
pantheraTigris,79.3,21.8
pantheraTigris,79.3,21.6
pantheraTigris,88.9,22.0
pantheraTigris,76.5,26.0
pantheraTigris,76.6,26.2
pantheraTigris,76.5,26.2
pantheraTigris,76.5,26.1
pantheraTigris,76.6,26.1
pantheraTigris,79.1,29.5
pantheraTigris,78.9,29.6
pantheraTigris,78.9,29.6
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.3
pantheraTigris,79.2,29.4
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.3
pantheraTigris,78.9,29.6
pantheraTigris,79.0,29.4
pantheraTigris,79.4,20.3
pantheraTigris,79.1,29.5
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.3
pantheraTigris,79.0,29.6
pantheraTigris,78.9,29.6
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.4
pantheraTigris,78.9,29.6
pantheraTigris,78.9,29.6
pantheraTigris,79.1,29.5
pantheraTigris,79.4,20.3
pantheraTigris,79.2,29.4
pantheraTigris,78.9,29.6
pantheraTigris,79.4,20.3
pantheraTigris,79.4,20.1
pantheraTigris,78.9,29.6
pantheraTigris,78.9,29.6
pantheraTigris,79.9,24.6
pantheraTigris,78.9,29.6
